Date,count
04-11-2016,634527
04-11-2017,623054
04-11-2018,843341
04-11-2019,875141
04-11-2020,104551
04-11-2021,414006
04-12-2010,269797
04-12-2011,271084
04-12-2012,354620
04-12-2013,361504
04-12-2014,528770
04-12-2015,458808
04-12-2016,718101
04-12-2017,656443
04-12-2018,838379
04-12-2019,980703
04-12-2020,92175
04-12-2021,502228
05-01-2009,298471
05-01-2010,241259
05-01-2011,157690
05-01-2012,296836
05-01-2013,277689
05-01-2014,460179
05-01-2015,746219
05-01-2016,426266
05-01-2017,500172
05-01-2018,725455
05-01-2019,784033
05-01-2020,141674
05-01-2021,399952
05-02-2009,204887
05-02-2010,182281
05-02-2011,257627
05-02-2012,276317
05-02-2013,300103
05-02-2014,494263
05-02-2015,557177
05-02-2016,639079
05-02-2017,521670
05-02-2018,736988
05-02-2019,765930
05-02-2020,145380
05-02-2021,299723
05-03-2009,171052
05-03-2010,276131
05-03-2011,266472
05-03-2012,287053
05-03-2013,331354
05-03-2014,384122
05-03-2015,452820
05-03-2016,615311
05-03-2017,559569
05-03-2018,737186
05-03-2019,908436
05-03-2020,147257
05-03-2021,256911
05-04-2009,241108
05-04-2010,261687
05-04-2011,263203
05-04-2012,346704
05-04-2013,239292
05-04-2014,309143
05-04-2015,544844
05-04-2016,691508
05-04-2017,600993
05-04-2018,803752
05-04-2019,653393
05-04-2020,159790
05-04-2021,286940
05-05-2009,254668
05-05-2010,277653
05-05-2011,271388
05-05-2012,223940
05-05-2013,175872
05-05-2014,404085
05-05-2015,506962
05-05-2016,725166
05-05-2017,668528
05-05-2018,701778
05-05-2019,567776
05-05-2020,186163
05-05-2021,335436
05-06-2009,256729
05-06-2010,290841
05-06-2011,305714
05-06-2012,189674
05-06-2013,269942
05-06-2014,421373
05-06-2015,543673
05-06-2016,837827
05-06-2017,491693
05-06-2018,581577
05-06-2019,722955
05-06-2020,172842
05-06-2021,344715
05-07-2009,257464
05-07-2010,329601
05-07-2011,200641
05-07-2012,281407
05-07-2013,274838
05-07-2014,430494
05-07-2015,556631
05-07-2016,667976
05-07-2017,402430
05-07-2018,674019
05-07-2019,757758
05-07-2020,176481
05-07-2021,395631
05-08-2009,292888
05-08-2010,230755
05-08-2011,141368
05-08-2012,307579
05-08-2013,294253
05-08-2014,458677
05-08-2015,662573
05-08-2016,468801
05-08-2017,492725
05-08-2018,714870
05-08-2019,754208
05-08-2020,202277
05-08-2021,390907
05-09-2009,186950
05-09-2010,183714
05-09-2011,250434
05-09-2012,306588
05-09-2013,310491
05-09-2014,520813
05-09-2015,512580
05-09-2016,577666
05-09-2017,538218
05-09-2018,803022
05-09-2019,752630
05-09-2020,141747
05-09-2021,316226
05-10-2009,159435
05-10-2010,265130
05-10-2011,255437
05-10-2012,319462
05-10-2013,353963
05-10-2014,382964
05-10-2015,394815
05-10-2016,641085
05-10-2017,568189
05-10-2018,724133
05-10-2019,682392
05-10-2020,155927
05-10-2021,257644
05-11-2009,231013
05-11-2010,253743
05-11-2011,236278
05-11-2012,348616
05-11-2013,259521
05-11-2014,370953
05-11-2015,508168
05-11-2016,652510
05-11-2017,567444
05-11-2018,618683
05-11-2019,624718
05-11-2020,173860
05-11-2021,277676
