,Pedestrians_Count,Lockdown_Stage,Vehicle_Count,Covid_Cases
02-07-2011,250897,Stage 0,,0.0
02-07-2012,289365,Stage 0,,0.0
02-07-2013,285255,Stage 0,,0.0
02-07-2014,511908,Stage 0,,0.0
02-07-2015,456256,Stage 0,,0.0
02-07-2016,543115,Stage 0,,0.0
02-07-2017,535170,Stage 0,,0.0
02-07-2018,709302,Stage 0,,0.0
02-07-2019,670040,Stage 0,21677.0,0.0
02-07-2020,820281,Stage 0,,59.0
02-07-2021,361017,Stage 0,,0.0
02-08-2010,255742,Stage 0,,0.0
02-08-2011,249933,Stage 0,,0.0
02-08-2012,298572,Stage 0,,0.0
02-08-2013,318209,Stage 0,,0.0
02-08-2014,381805,Stage 0,,0.0
02-08-2015,393458,Stage 0,,0.0
02-08-2016,665405,Stage 0,,0.0
02-08-2017,523366,Stage 0,,0.0
02-08-2018,740784,Stage 0,,0.0
02-08-2019,741589,Stage 0,23035.0,0.0
02-08-2020,650093,Stage 0,,316.0
02-08-2021,343247,Stage 0,,0.0
02-09-2010,252306,Stage 0,,0.0
02-09-2011,265881,Stage 0,,0.0
02-09-2012,307660,Stage 0,,0.0
02-09-2013,245450,Stage 0,,0.0
02-09-2014,328888,Stage 0,,0.0
02-09-2015,516238,Stage 0,,0.0
02-09-2016,664340,Stage 0,,0.0
02-09-2017,493460,Stage 0,,0.0
02-09-2018,852929,Stage 0,,0.0
02-09-2019,567279,Stage 0,21866.0,0.0
02-09-2020,525946,Stage 0,,101.0
02-09-2021,379425,Stage 0,,0.0
02-10-2010,261899,Stage 0,,0.0
02-10-2011,261717,Stage 0,,0.0
02-10-2012,335203,Stage 0,,0.0
02-10-2013,266654,Stage 0,,0.0
02-10-2014,471126,Stage 0,,0.0
02-10-2015,533244,Stage 0,,0.0
02-10-2016,686251,Stage 0,,0.0
02-10-2017,603611,Stage 0,,0.0
02-10-2018,711660,Stage 0,,0.0
02-10-2019,561875,Stage 0,24337.0,0.0
02-10-2020,728118,Stage 0,,8.0
02-10-2021,390789,Stage 0,,0.0
02-11-2010,276293,Stage 0,,0.0
02-11-2011,266875,Stage 0,,0.0
02-11-2012,228203,Stage 0,,0.0
02-11-2013,279167,Stage 0,,0.0
02-11-2014,488150,Stage 0,,0.0
02-11-2015,518877,Stage 0,,0.0
02-11-2016,698865,Stage 0,,0.0
02-11-2017,475673,Stage 0,,0.0
02-11-2018,604470,Stage 0,,0.0
02-11-2019,626858,Stage 0,21642.0,0.0
02-11-2020,775734,Stage 0,,0.0
02-11-2021,372927,Stage 0,,0.0
02-12-2010,318558,Stage 0,,0.0
02-12-2011,210841,Stage 0,,0.0
02-12-2012,170380,Stage 0,,0.0
02-12-2013,292874,Stage 0,,0.0
02-12-2014,497137,Stage 0,,0.0
02-12-2015,566425,Stage 0,,0.0
02-12-2016,790800,Stage 0,,0.0
02-12-2017,370499,Stage 0,,0.0
02-12-2018,742737,Stage 0,,0.0
02-12-2019,593394,Stage 0,23070.0,0.0
02-12-2020,809328,Stage 0,,0.0
02-12-2021,429230,Stage 0,,0.0
03-01-2010,280448,Stage 0,,0.0
03-01-2011,268537,Stage 0,,0.0
03-01-2012,315293,Stage 0,,0.0
03-01-2013,345083,Stage 0,,0.0
03-01-2014,462184,Stage 0,,0.0
03-01-2015,477727,Stage 0,,0.0
03-01-2016,679965,Stage 0,,0.0
03-01-2017,589251,Stage 0,,0.0
03-01-2018,817907,Stage 0,,0.0
03-01-2019,784466,Stage 0,15974.0,0.0
03-01-2020,604775,Stage 0,21468.0,0.0
03-01-2021,349024,Stage 3,,3.0
03-02-2010,292244,Stage 0,,0.0
03-02-2011,278159,Stage 0,,0.0
03-02-2012,366228,Stage 0,,0.0
03-02-2013,268947,Stage 0,,0.0
03-02-2014,385188,Stage 0,,0.0
03-02-2015,572045,Stage 0,,0.0
03-02-2016,693302,Stage 0,,0.0
03-02-2017,607676,Stage 0,,0.0
03-02-2018,912454,Stage 0,,0.0
03-02-2019,550212,Stage 0,12813.0,0.0
03-02-2020,836533,Stage 0,20890.0,0.0
03-02-2021,393477,Stage 3,,1.0
03-03-2010,312340,Stage 0,,0.0
03-03-2011,285873,Stage 0,,0.0
03-03-2012,215737,Stage 0,,0.0
03-03-2013,215551,Stage 0,,0.0
03-03-2014,489854,Stage 0,,0.0
03-03-2015,601851,Stage 0,,0.0
03-03-2016,708544,Stage 0,,0.0
03-03-2017,656703,Stage 0,,0.0
03-03-2018,702654,Stage 0,,0.0
03-03-2019,457939,Stage 0,14581.0,0.0
03-03-2020,870774,Stage 0,22527.0,0.0
03-03-2021,429319,Stage 3,,0.0
03-04-2010,301182,Stage 0,,0.0
