bay_id,st_marker_id,status,location,lat,lon
4383,C7200,Unoccupied,"(-37.80760730941965, 144.952820993905)",-37.80760730941965,144.952820993905
2234,3918N,Present,"(-37.812085652084235, 144.9550140018767)",-37.812085652084235,144.9550140018767
5376,11726E,Unoccupied,"(-37.80986458310545, 144.97298774989667)",-37.80986458310545,144.97298774989667
2666,10174E,Unoccupied,"(-37.804214385640634, 144.94951325623254)",-37.804214385640634,144.94951325623254
5539,12011W,Unoccupied,"(-37.81339430386741, 144.98292717261975)",-37.81339430386741,144.98292717261975
5841,12569S,Unoccupied,"(-37.81605995958615, 144.9814878087895)",-37.81605995958615,144.9814878087895
5837,12561S,Unoccupied,"(-37.81602905503722, 144.98121156134084)",-37.81602905503722,144.98121156134084
5830,12547S,Unoccupied,"(-37.81597116437966, 144.9806842999829)",-37.81597116437966,144.9806842999829
8343,649W,Present,"(-37.81607789160405, 144.96948384379704)",-37.81607789160405,144.96948384379704
8346,767Wa,Unoccupied,"(-37.81243621759688, 144.9678039100279)",-37.81243621759688,144.9678039100279
4120,C6402,Present,"(-37.803726604974045, 144.95100945355003)",-37.803726604974045,144.95100945355003
5674,12323S,Present,"(-37.809974710380445, 144.97892006558305)",-37.809974710380445,144.97892006558305
4271,C6878,Unoccupied,"(-37.80937358030814, 144.95585125657686)",-37.80937358030814,144.95585125657686
3955,C5878,Unoccupied,"(-37.805073030677484, 144.95378898323872)",-37.805073030677484,144.95378898323872
6190,13270N,Present,"(-37.82016441447789, 144.94235971345913)",-37.82016441447789,144.94235971345913
2679,10188E,Unoccupied,"(-37.803845768677675, 144.94957821859185)",-37.803845768677675,144.94957821859185
3120,5282E,Present,"(-37.80454551135064, 144.95744017714392)",-37.80454551135064,144.95744017714392
6059,13040N,Unoccupied,"(-37.821126302747224, 144.94372360484854)",-37.821126302747224,144.94372360484854
4289,C6914,Present,"(-37.80918752192871, 144.95588594908736)",-37.80918752192871,144.95588594908736
933,C740,Present,"(-37.81348501071899, 144.96841138944723)",-37.81348501071899,144.96841138944723
5870,C9182,Unoccupied,"(-37.79846529772058, 144.96533287717432)",-37.79846529772058,144.96533287717432
879,780E,Unoccupied,"(-37.81195047079741, 144.96782860739688)",-37.81195047079741,144.96782860739688
1282,4474E,Present,"(-37.813033688592654, 144.95430777343313)",-37.813033688592654,144.95430777343313
