Date,Stage 
6/01/2021,Stage 0
7/01/2021,Stage 0
8/01/2021,Stage 0
9/01/2021,Stage 0
10/01/2021,Stage 0
11/01/2021,Stage 0
12/01/2021,Stage 0
13/01/2021,Stage 0
14/01/2021,Stage 0
15/01/2021,Stage 0
16/01/2021,Stage 0
17/01/2021,Stage 0
18/01/2021,Stage 0
19/01/2021,Stage 0
20/01/2021,Stage 0
21/01/2021,Stage 0
22/01/2021,Stage 0
23/01/2021,Stage 0
24/01/2021,Stage 0
25/01/2021,Stage 0
26/01/2021,Stage 0
27/01/2021,Stage 0
28/01/2021,Stage 0
29/01/2021,Stage 0
30/01/2021,Stage 0
31/01/2021,Stage 0
1/02/2021,Stage 0
2/02/2021,Stage 0
3/02/2021,Stage 0
4/02/2021,Stage 0
5/02/2021,Stage 0
6/02/2021,Stage 0
7/02/2021,Stage 0
8/02/2021,Stage 0
9/02/2021,Stage 0
10/02/2021,Stage 0
11/02/2021,Stage 0
12/02/2021,Stage 0
